gene	pUC57_rep1
ENSG00000006047.8	16
ENSG00000006062.9	74
ENSG00000006114.11	1085
ENSG00000006118.10	3833
ENSG00000006125.12	6396
ENSG00000006125.12--ENSG00000234130.2	13
ENSG00000006194.6	943
ENSG00000006210.6	1234
ENSG00000006282.15	1036
ENSG00000006283.13	17
ENSG00000006327.9	934
ENSG00000006377.9	184
ENSG00000006432.11	465
ENSG00000006451.3	1111
ENSG00000006451.3--ENSG00000257564.1	1
ENSG00000006453.9	2345
ENSG00000006459.6	1170
ENSG00000006468.9	914
ENSG00000006530.11	1684
ENSG00000006534.11	126
ENSG00000006555.6	150
ENSG00000006576.12	776
ENSG00000006606.4	3
ENSG00000006607.9	956
ENSG00000006611.11	710
ENSG00000006625.13	1548
ENSG00000006634.3	2717
ENSG00000006634.3--ENSG00000235489.3	90
ENSG00000006638.7	38
ENSG00000006652.9	2717
ENSG00000006659.8	3
ENSG00000006695.6	549
ENSG00000006695.6--ENSG00000223544.1	6
ENSG00000006704.6	475
ENSG00000006712.10	2790
ENSG00000006715.11	1906
ENSG00000006740.12	3
ENSG00000006744.14	3054
ENSG00000006747.10	19
ENSG00000006756.11	221
ENSG00000006757.7	148
ENSG00000006831.9	3653
ENSG00000006837.7	22
ENSG00000007001.8	1
ENSG00000007047.10	614
ENSG00000007062.7	1960
ENSG00000007080.6	748
ENSG00000007168.8	3505
ENSG00000007168.8--ENSG00000239884.2	1
ENSG00000007202.10	8261
ENSG00000007216.10	3
ENSG00000007255.6	361
ENSG00000007314.7	1
ENSG00000007341.14	597
ENSG00000007372.16	171
ENSG00000007372.16--ENSG00000272286.1	2
ENSG00000007376.3	835
ENSG00000007384.11	403
ENSG00000007392.12	1118
ENSG00000007402.7	3
ENSG00000007516.9	11
ENSG00000007520.3	772
ENSG00000007541.10	208
ENSG00000007545.11	294
ENSG00000007545.11--ENSG00000261732.1	317
ENSG00000007866.14	608
ENSG00000007923.11	2881
ENSG00000007933.8	5
ENSG00000007944.10	257
ENSG00000007952.13	71
ENSG00000007968.6	679
ENSG00000008018.8	7142
ENSG00000008083.9	998
ENSG00000008086.6	146
ENSG00000008128.18	208
ENSG00000008128.18--ENSG00000268575.1	234
ENSG00000008130.11	1849
ENSG00000008196.8	5
ENSG00000008226.15	1
ENSG00000008256.11	202
ENSG00000008277.10	116
ENSG00000008282.3	868
ENSG00000008283.11	11
ENSG00000008294.16	4486
ENSG00000008300.10	117
ENSG00000008311.10	725
ENSG00000008323.11	424
ENSG00000008324.6	672
ENSG00000008382.11	159
ENSG00000008394.8	5746
ENSG00000008405.7	1437
ENSG00000008441.12	250
ENSG00000008513.10	685
ENSG00000008516.12	1
ENSG00000008517.12	972
ENSG00000008710.13	1005
ENSG00000008710.13--ENSG00000183458.9	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5	35
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000214940.4--ENSG00000205746.5--ENSG00000233024.3--ENSG00000254681.2	9
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000183458.9--ENSG00000183426.11--ENSG00000244257.4--ENSG00000183889.8--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5--ENSG00000254681.2	10
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	12
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000254681.2	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5	4
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	34
ENSG00000008710.13--ENSG00000183458.9--ENSG00000244257.4--ENSG00000254681.2	8
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2	3
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2--ENSG00000244257.4--ENSG00000205746.5--ENSG00000254681.2	19
ENSG00000008710.13--ENSG00000183458.9--ENSG00000250251.2--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	78
ENSG00000008710.13--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2	2
ENSG00000008710.13--ENSG00000188599.13--ENSG00000270580.1--ENSG00000250251.2--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000205746.5	3
ENSG00000008710.13--ENSG00000214940.4--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000227827.3	3
ENSG00000008710.13--ENSG00000227827.3--ENSG00000254681.2	15
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5	5
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5--ENSG00000254681.2	6
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000205746.5	1
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	2
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5	8
ENSG00000008710.13--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000214940.4--ENSG00000205746.5--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000244257.4--ENSG00000227827.3--ENSG00000205746.5	3
ENSG00000008710.13--ENSG00000250251.2	3
ENSG00000008710.13--ENSG00000250251.2--ENSG00000227827.3	1
ENSG00000008710.13--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000205746.5--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000250251.2--ENSG00000244257.4--ENSG00000183889.8--ENSG00000227827.3--ENSG00000205746.5--ENSG00000254681.2	1
ENSG00000008710.13--ENSG00000254681.2	8
ENSG00000008735.10	40
ENSG00000008838.13	1703
ENSG00000008853.12	533
ENSG00000008869.7	1013
ENSG00000008952.12	2972
ENSG00000008988.5	20369
ENSG00000008988.5--ENSG00000243802.2	1
ENSG00000008988.5--ENSG00000244086.1	4
ENSG00000009307.11	33669
ENSG00000009335.13	4166
ENSG00000009413.11	2055
ENSG00000009694.9	130
ENSG00000009724.12	9
ENSG00000009765.10	17
ENSG00000009780.11	234
ENSG00000009790.10	2
ENSG00000009830.7	344
ENSG00000009844.11	3875
ENSG00000009950.11	79
ENSG00000009954.6	6692
ENSG00000010017.9	1386
ENSG00000010072.11	857
ENSG00000010165.15	634
ENSG00000010219.9	64
ENSG00000010219.9--ENSG00000272921.1	1
ENSG00000010244.12	5011
ENSG00000010256.6	6587
ENSG00000010270.9	1028
ENSG00000010278.7	166
ENSG00000010292.8	9302
ENSG00000010295.15	473
ENSG00000010310.4	19
ENSG00000010318.15	45
ENSG00000010319.2	11
ENSG00000010322.11	523
ENSG00000010379.11	10
ENSG00000010404.13	107
ENSG00000010404.13--ENSG00000176289.4	5
ENSG00000010404.13--ENSG00000241489.3	81
ENSG00000010404.13--ENSG00000241489.3--ENSG00000241769.3--ENSG00000235703.1	1
ENSG00000010438.12	2
ENSG00000010539.7	274
ENSG00000010610.5	1
ENSG00000010626.10	176
ENSG00000010671.11	3
ENSG00000010704.14	135
ENSG00000010803.12	932
ENSG00000010810.13	1763
ENSG00000010818.4	777
ENSG00000010932.11	4
ENSG00000011007.8	1300
ENSG00000011009.6	2055
ENSG00000011021.17	754
ENSG00000011021.17--ENSG00000242349.1	3
ENSG00000011028.9	1
ENSG00000011105.7	1782
ENSG00000011114.10	1267
ENSG00000011132.7	375
ENSG00000011143.12	208
ENSG00000011198.3	502
ENSG00000011201.6	15
ENSG00000011243.13	1543
ENSG00000011258.11	570
ENSG00000011260.9	1595
ENSG00000011275.14	2652
ENSG00000011295.11	1209
ENSG00000011295.11--ENSG00000243686.2	1
ENSG00000011304.12	13354
ENSG00000011332.15	50
ENSG00000011347.5	1558
ENSG00000011376.5	1963
ENSG00000011405.9	3709
ENSG00000011422.7	46
ENSG00000011426.6	10797
ENSG00000011451.13	993
ENSG00000011454.12	1469
ENSG00000011478.7	362
ENSG00000011485.10	2819
ENSG00000011523.9	471
ENSG00000011566.10	2339
ENSG00000011590.9	1
ENSG00000011600.7	2
ENSG00000011638.6	21
ENSG00000012048.15	2247
ENSG00000012061.11	894
ENSG00000012171.13	352
ENSG00000012174.7	606
ENSG00000012174.7--ENSG00000230797.2	25
ENSG00000012211.8	187
ENSG00000012223.8	3
ENSG00000012232.4	1537
ENSG00000012504.9	8754
ENSG00000012660.9	4619
ENSG00000012822.11	452
ENSG00000012963.9	623
ENSG00000012983.7	674
ENSG00000013016.10	35
ENSG00000013275.3	7964
ENSG00000013288.4	1400
ENSG00000013297.6	13
ENSG00000013306.11	3654
ENSG00000013364.14	149
ENSG00000013374.11	2317
ENSG00000013375.11	6619
ENSG00000013392.6	202
ENSG00000013441.11	991
ENSG00000013503.5	1678
ENSG00000013523.5	230
ENSG00000013561.13	1188
ENSG00000013563.9	177
ENSG00000013573.12	1310
ENSG00000013583.4	238
ENSG00000013588.5	42
ENSG00000013619.9	35
ENSG00000013810.14	3195
ENSG00000013810.14--ENSG00000218422.2	52
ENSG00000014123.9	2189
ENSG00000014138.4	790
ENSG00000014164.6	457
ENSG00000014216.11	2132
ENSG00000014641.13	3160
ENSG00000014824.9	3265
ENSG00000014914.15	25
ENSG00000014919.8	1538
ENSG00000015133.14	1219
ENSG00000015153.10	478
ENSG00000015171.14	2741
ENSG00000015285.6	11
ENSG00000015413.5	1
ENSG00000015475.14	1507
ENSG00000015479.13	20147
ENSG00000015520.10	311
ENSG00000015532.5	857
ENSG00000015568.8	4
ENSG00000015568.8--ENSG00000169629.7	3
ENSG00000015568.8--ENSG00000183054.7	492
ENSG00000015568.8--ENSG00000183054.7--ENSG00000169629.7	874
ENSG00000015592.12	1
ENSG00000015676.13	1700
ENSG00000016082.10	30
ENSG00000016391.6	877
ENSG00000016490.11	1
ENSG00000016864.12	311
ENSG00000017260.15	2001
ENSG00000017373.11	107
ENSG00000017427.11	3
ENSG00000017483.10	10
ENSG00000017621.11	82
ENSG00000017797.7	2814
ENSG00000018189.8	934
ENSG00000018236.10	18
ENSG00000018280.12	7
ENSG00000018408.10	228
ENSG00000018510.8	6106
ENSG00000018610.9	903
ENSG00000018625.10	16
ENSG00000018699.7	1095
ENSG00000018869.12	157
ENSG00000019102.7	1
ENSG00000019144.12	850
ENSG00000019169.9	7
ENSG00000019186.5	21
ENSG00000019485.8	23
ENSG00000019549.4	1
ENSG00000019582.10	20
ENSG00000019991.11	4
ENSG00000019995.6	2214
ENSG00000020129.11	765
ENSG00000020181.13	6
ENSG00000020256.15	909
ENSG00000020426.6	690
ENSG00000020426.6--ENSG00000258892.1	1
ENSG00000020577.9	215
ENSG00000020633.14	11
ENSG00000020922.8	714
ENSG00000021300.9	511
ENSG00000021355.8	1938
ENSG00000021461.12	5
ENSG00000021488.8	18
ENSG00000021574.7	1301
ENSG00000021776.6	3429
ENSG00000021826.10	379
ENSG00000021852.8	90
ENSG00000022267.12	2
ENSG00000022277.8	1907
ENSG00000022277.8--ENSG00000124103.8	335
ENSG00000022567.5	1319
ENSG00000022840.11	3655
ENSG00000022976.11	226
ENSG00000023041.7	1232
ENSG00000023171.10	13
ENSG00000023191.12	2135
ENSG00000023228.9	7548
ENSG00000023228.9--ENSG00000237580.1	60
ENSG00000023287.8	2743
ENSG00000023318.7	2325
ENSG00000023330.10	2705
ENSG00000023445.9	60
ENSG00000023516.7	1177
ENSG00000023572.4	553
ENSG00000023608.4	183
ENSG00000023697.8	2047
ENSG00000023734.6	7352
ENSG00000023839.6	4728
ENSG00000023892.9	107
ENSG00000023902.9	833
ENSG00000023909.5	4203
ENSG00000024048.6	2051
ENSG00000024422.7	21
ENSG00000024526.12	2847
ENSG00000024526.12--ENSG00000232486.1	1
ENSG00000024526.12--ENSG00000259358.1	63
ENSG00000024862.12	283
ENSG00000025039.10	1506
ENSG00000025156.8	946
ENSG00000025293.11	1792
ENSG00000025423.7	14
ENSG00000025434.14	668
ENSG00000025708.8	46
ENSG00000025770.14	2576
ENSG00000025772.7	2253
ENSG00000025796.9	1652
ENSG00000025800.9	5036
ENSG00000025800.9--ENSG00000250135.1	401
ENSG00000026025.9	14507
ENSG00000026036.16	31
ENSG00000026036.16--ENSG00000243509.4	22
ENSG00000026103.15	1
ENSG00000026297.11	229
ENSG00000026508.12	31
ENSG00000026652.9	2
ENSG00000026950.12	157
ENSG00000027001.7	355
ENSG00000027075.9	34
ENSG00000027075.9--ENSG00000258989.1	2
ENSG00000027697.8	1180
ENSG00000027847.9	834
ENSG00000027869.7	40
ENSG00000028116.12	786
ENSG00000028137.12	3
ENSG00000028203.13	2078
ENSG00000028277.16	24
ENSG00000028310.13	656
ENSG00000028528.10	1241
ENSG00000028839.5	741
ENSG00000029153.10	810
ENSG00000029363.11	10597
ENSG00000029364.7	3108
ENSG00000029534.15	8
ENSG00000029559.5	11
ENSG00000029639.6	350
ENSG00000029725.12	2770
ENSG00000029993.10	1984
ENSG00000030066.9	2646
ENSG00000030110.8	471
ENSG00000030110.8--ENSG00000175730.7	34
ENSG00000030304.8	1
ENSG00000030419.12	5
ENSG00000030582.12	3343
ENSG00000031003.6	560
ENSG00000031081.6	39
ENSG00000031691.6	336
ENSG00000031698.8	2677
ENSG00000031823.10	2320
ENSG00000032219.14	624
ENSG00000032389.8	567
ENSG00000032444.11	1448
ENSG00000032742.13	269
ENSG00000033011.7	952
ENSG00000033030.9	1146
ENSG00000033050.3	4043
ENSG00000033100.10	1182
ENSG00000033100.10--ENSG00000211517.1	1
ENSG00000033170.12	235
ENSG00000033178.8	3510
ENSG00000033327.8	486
ENSG00000033627.10	1377
ENSG00000033627.10--ENSG00000256929.1	7
ENSG00000033800.9	2686
ENSG00000033867.12	8044
ENSG00000034053.10	516
ENSG00000034063.9	3379
ENSG00000034152.14	308
ENSG00000034510.4	26300
ENSG00000034533.7	235
ENSG00000034677.7	1038
ENSG00000034693.10	1160
ENSG00000034693.10--ENSG00000229036.3	1
ENSG00000034713.3	917
ENSG00000035115.17	50
ENSG00000035141.3	2663
ENSG00000035141.3--ENSG00000232654.1	2
ENSG00000035403.12	3425
ENSG00000035499.8	2125
ENSG00000035664.7	73
ENSG00000035681.3	637
ENSG00000035687.9	3036
ENSG00000035862.8	463
ENSG00000035862.8--ENSG00000178404.5	10
ENSG00000035928.10	4930
ENSG00000036054.8	1239
ENSG00000036257.8	3466
ENSG00000036473.6	11
ENSG00000036549.8	3544
ENSG00000036672.11	97
ENSG00000037042.8	151
ENSG00000037241.3	1108
ENSG00000037241.3--ENSG00000236264.3	74
ENSG00000037474.10	4013
ENSG00000037637.6	888
ENSG00000037749.7	2148
ENSG00000037757.9	927
ENSG00000037757.9--ENSG00000104979.4	1
ENSG00000037897.12	840
ENSG00000037897.12--ENSG00000176812.7	1
ENSG00000037965.4	47
ENSG00000038002.4	549
ENSG00000038210.9	3599
ENSG00000038219.8	2911
ENSG00000038274.12	1197
ENSG00000038295.3	1
ENSG00000038358.10	3960
ENSG00000038358.10--ENSG00000263126.1	314
ENSG00000038382.13	2520
ENSG00000038427.11	6240
ENSG00000038532.10	609
ENSG00000038945.10	10
ENSG00000039068.14	1867
ENSG00000039123.11	3507
ENSG00000039139.9	19
ENSG00000039319.12	2313
ENSG00000039523.13	652
ENSG00000039537.9	15
ENSG00000039560.9	5731
ENSG00000039650.5	580
ENSG00000040199.14	979
ENSG00000040275.12	1913
ENSG00000040341.13	1829
ENSG00000040341.13--ENSG00000258677.2	51
ENSG00000040487.8	517
ENSG00000040531.10	487
ENSG00000040608.9	284
ENSG00000040633.8	1657
ENSG00000040933.11	779
ENSG00000041353.5	125
ENSG00000041357.11	9525
ENSG00000041515.11	9
ENSG00000041802.6	2609
ENSG00000041880.10	105
ENSG00000041982.10	2
ENSG00000041988.11	372
ENSG00000042062.7	23
ENSG00000042088.9	703
ENSG00000042286.10	490
ENSG00000042317.12	85
ENSG00000042429.6	972
ENSG00000042445.9	792
ENSG00000042493.11	825
ENSG00000042753.7	1282
ENSG00000042781.8	51
ENSG00000042832.7	24
ENSG00000042980.8	37
ENSG00000043093.9	1807
ENSG00000043143.16	1147
ENSG00000043355.6	65
ENSG00000043514.11	760
ENSG00000043591.4	37
ENSG00000044012.3	2
ENSG00000044090.4	926
ENSG00000044115.16	7859
ENSG00000044446.7	1091
ENSG00000044459.10	1179
ENSG00000044574.7	8787
ENSG00000046604.8	808
ENSG00000046647.9	81
ENSG00000046651.10	365
ENSG00000046889.14	3
ENSG00000047056.10	464
ENSG00000047188.11	1033
ENSG00000047230.10	1178
ENSG00000047249.12	543
ENSG00000047315.10	7141
ENSG00000047346.8	366
ENSG00000047365.7	1
ENSG00000047410.9	9943
ENSG00000047457.9	3429
ENSG00000047457.9--ENSG00000253525.1	28
ENSG00000047578.8	434
ENSG00000047579.15	72
ENSG00000047617.10	2
ENSG00000047621.7	1450
ENSG00000047634.10	326
ENSG00000047644.13	2
ENSG00000047662.4	13
ENSG00000047849.17	7776
ENSG00000047932.9	2959
ENSG00000047936.6	113
ENSG00000047936.6--ENSG00000047932.9	1
ENSG00000048028.7	873
ENSG00000048052.17	106
ENSG00000048140.13	443
ENSG00000048162.15	1355
ENSG00000048342.11	434
ENSG00000048392.7	855
ENSG00000048405.5	1207
ENSG00000048471.9	315
ENSG00000048540.10	37
ENSG00000048544.5	1915
ENSG00000048649.9	898
ENSG00000048649.9--ENSG00000219529.2	2
ENSG00000048707.9	1368
ENSG00000048828.12	4517
ENSG00000048991.12	1740
ENSG00000049089.9	644
ENSG00000049130.9	1907
ENSG00000049167.9	620
ENSG00000049167.9--ENSG00000215032.2	73
ENSG00000049192.10	126
ENSG00000049239.8	2066
ENSG00000049245.8	2742
ENSG00000049246.10	19
ENSG00000049249.4	62
ENSG00000049283.13	28
ENSG00000049283.13--ENSG00000006282.15	2
ENSG00000049319.2	3
ENSG00000049323.11	696
ENSG00000049449.4	565
ENSG00000049449.4--ENSG00000214455.3	40
ENSG00000049540.12	2
ENSG00000049541.6	1653
ENSG00000049618.17	1658
ENSG00000049656.9	2937
ENSG00000049759.12	3410
ENSG00000049769.8	114
ENSG00000049860.9	2092
ENSG00000049883.10	179
ENSG00000050030.9	1
ENSG00000050130.13	1127
ENSG00000050165.13	164
ENSG00000050327.10	266
ENSG00000050344.8	1200
ENSG00000050393.7	1351
ENSG00000050405.9	2111
ENSG00000050426.11	714
ENSG00000050438.12	3
ENSG00000050748.13	1761
ENSG00000050820.12	2576
ENSG00000051009.6	339
ENSG00000051108.10	1835
ENSG00000051128.14	484
ENSG00000051180.12	501
ENSG00000051341.9	1890
ENSG00000051382.4	735
ENSG00000051523.6	5241
ENSG00000051596.5	1330
ENSG00000051596.5--ENSG00000170089.11	3702
ENSG00000051620.6	2790
ENSG00000051825.10	1721
ENSG00000052126.10	2536
ENSG00000052344.11	10
ENSG00000052723.7	3523
ENSG00000052749.9	2749
ENSG00000052795.8	2324
ENSG00000052802.8	8863
ENSG00000052841.10	3460
ENSG00000052850.5	6
ENSG00000053108.12--ENSG00000254560.1	1
ENSG00000053254.11	2043
ENSG00000053254.11--ENSG00000259053.1	16
ENSG00000053328.8	17
ENSG00000053371.8	962
ENSG00000053372.4	3232
ENSG00000053501.8	214
ENSG00000053524.7	2
ENSG00000053747.11	163
ENSG00000053770.7	1104
ENSG00000053900.6	1618
ENSG00000054116.7	1518
ENSG00000054118.9	6801
ENSG00000054148.13	3140
ENSG00000054179.7	7
ENSG00000054219.9	52
ENSG00000054267.16	2027
ENSG00000054277.8	768
ENSG00000054282.11	468
ENSG00000054392.8	27
ENSG00000054523.12	3109
ENSG00000054523.12--ENSG00000264501.1	64
ENSG00000054598.5	47
ENSG00000054611.9	612
ENSG00000054654.11	718
ENSG00000054690.9	173
ENSG00000054793.9	1762
ENSG00000054965.6	764
ENSG00000054967.8	327
ENSG00000054983.12	513
ENSG00000055044.6	3375
ENSG00000055070.12	4279
ENSG00000055118.10	7
ENSG00000055130.11	3830
ENSG00000055147.13	845
ENSG00000055163.14	15
ENSG00000055208.13	1756
ENSG00000055211.8	819
ENSG00000055332.12	1057
ENSG00000055483.15	1371
ENSG00000055609.13	3291
ENSG00000055609.13--ENSG00000166157.12--ENSG00000187172.11	13
ENSG00000055609.13--ENSG00000187172.11	47
ENSG00000055732.8	39
ENSG00000055813.5	1
ENSG00000055917.11	2369
ENSG00000055950.12	1632
ENSG00000055955.11	1
ENSG00000055955.11--ENSG00000243696.4	3
ENSG00000055957.6	14
ENSG00000056050.6	528
ENSG00000056097.11	7967
ENSG00000056277.11	669
ENSG00000056291.13	4
ENSG00000056558.6	11
ENSG00000056586.11	1982
ENSG00000056661.9	393
ENSG00000056736.5	1224
ENSG00000056972.14	130
ENSG00000056998.14	1345
ENSG00000057019.11	3090
ENSG00000057252.8	3335
ENSG00000057294.9	1360
ENSG00000057468.6	10
ENSG00000057593.9	474
ENSG00000057608.12	12816
ENSG00000057657.10	86
ENSG00000057663.8	2134
ENSG00000057704.6	354
ENSG00000057757.5	951
ENSG00000057935.9	629
ENSG00000058056.4	1253
ENSG00000058063.11	2400
ENSG00000058085.10	63
ENSG00000058091.12	1040
ENSG00000058262.5	14981
ENSG00000058272.11	4254
ENSG00000058404.15	1
ENSG00000058453.12	203
ENSG00000058600.11	1794
ENSG00000058668.10	588
ENSG00000058673.11	5476
ENSG00000058673.11--ENSG00000214558.3	172
ENSG00000058673.11--ENSG00000215817.3	144
ENSG00000058673.11--ENSG00000215817.3--ENSG00000214558.3	99
ENSG00000058673.11--ENSG00000257315.1	406
ENSG00000058729.6	1197
ENSG00000058799.9	513
ENSG00000058804.10	6041
ENSG00000058866.10	111
ENSG00000059122.12	607
ENSG00000059145.14	1551
ENSG00000059377.11	28
ENSG00000059378.8	631
ENSG00000059573.4	9567
ENSG00000059588.5	925
ENSG00000059691.7	732
ENSG00000059728.6	451
ENSG00000059758.3	2307
ENSG00000059769.15	447
ENSG00000059769.15--ENSG00000244115.1	20
ENSG00000059769.15--ENSG00000244115.1--ENSG00000242616.3	814
ENSG00000059804.11	12
ENSG00000059915.12	4
ENSG00000060069.12	640
ENSG00000060138.8	3521
ENSG00000060140.4	26
ENSG00000060237.12	10611
